DATE,Microcycle,Injury,TD,HSR,+25 Km/h,ACC,DEC,PlayerID,Max Speed,Sprints,Mins,Max Speed Season,Avg Speed Season,% Max Speed,Speed Diff Max Avg,TD_max,TD_avg,HSR_max,HSR_avg,+25 Km/h_max,+25 Km/h_avg,ACC_max,ACC_avg,DEC_max,DEC_avg,Sprints_max,Sprints_avg,TD_Rel,HSR_Rel,+25 Km/h_Rel,ACC_Rel,DEC_Rel,Sprints_Rel,TD-3,HSR-3,+25 Km/h-3,ACC-3,DEC-3,Sprints-3,TD-7,HSR-7,+25 Km/h-7,ACC-7,DEC-7,Sprints-7,TD-21,HSR-21,+25 Km/h-21,ACC-21,DEC-21,Sprints-21,TD/Mins,HSR/Mins,+25 Km/h/Mins,ACC/Mins,DEC/Mins,Sprints/Mins
2022-02-03,M-2,0.0,867.0,31.0,1.0,16.0,2.0,10103.0,26.47,13.0,72.5,34.92,22.49845045045048,75.80183276059564,17.65254704227864,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,9.82,5.17,0.53,16.35,1.97,26.77,9535.0,362.0,72.0,122.0,95.0,50.0,24197.0,1078.0,406.0,286.0,284.0,111.0,61613.0,3109.0,720.0,769.0,649.0,303.0,11.958620689655172,0.42758620689655175,0.013793103448275862,0.2206896551724138,0.027586206896551724,0.1793103448275862
2022-02-04,M-1,0.0,3174.0,47.0,0.0,49.0,46.0,10103.0,24.11,8.0,70.33,34.92,22.49845045045048,69.04352806414661,7.162935745724902,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,35.94,7.84,0.0,50.06,45.22,16.47,12709.0,409.0,72.0,171.0,141.0,58.0,24032.0,940.0,291.0,299.0,284.0,102.0,61001.0,2950.0,684.0,768.0,654.0,290.0,45.13010095265179,0.6682781174463245,0.0,0.6967154841461681,0.6540594340964027,0.11374946679937438
2022-02-05,MD,0.0,2449.0,617.0,12.0,11.0,0.0,10103.0,27.5,26.0,22.04,34.92,22.49845045045048,78.75143184421535,22.23064010814744,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,27.73,102.95,6.39,11.24,0.0,53.54,9983.0,808.0,18.0,114.0,87.0,60.0,26481.0,1557.0,303.0,310.0,284.0,128.0,56773.0,3202.0,587.0,707.0,576.0,285.0,111.11615245009075,27.994555353901998,0.544464609800363,0.49909255898366606,0.0,1.1796733212341197
2022-02-06,M+1,0.0,4775.0,75.0,3.0,60.0,68.0,10103.0,26.33,8.0,67.23,34.92,22.49845045045048,75.40091638029782,17.03028196536444,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,54.07,12.51,1.6,61.3,66.85,16.47,10398.0,739.0,15.0,120.0,114.0,42.0,25447.0,1414.0,220.0,294.0,278.0,114.0,61548.0,3277.0,590.0,767.0,644.0,293.0,71.02484010114532,1.1155734047300312,0.04462293618920125,0.8924587237840249,1.0114532202885615,0.11899449650453665
2022-02-07,M-1,0.0,3198.0,76.0,9.0,54.0,30.0,10103.0,27.27,9.0,66.29,34.92,22.49845045045048,78.09278350515464,21.20834748178839,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,36.21,12.68,4.8,55.17,29.49,18.53,10422.0,768.0,24.0,125.0,98.0,43.0,23131.0,1177.0,96.0,296.0,239.0,101.0,61414.0,3257.0,533.0,797.0,657.0,291.0,48.24257052345753,1.1464775984311357,0.13576708402473978,0.8146025041484386,0.45255694674913255,0.13576708402473978
2022-02-08,MD,0.0,1894.0,135.0,40.0,11.0,24.0,10103.0,29.27,10.0,16.16,34.92,22.49845045045048,83.82016036655212,30.09784858056275,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,21.45,22.52,21.31,11.24,23.59,20.59,9867.0,286.0,52.0,125.0,122.0,27.0,25025.0,1312.0,136.0,307.0,263.0,111.0,57430.0,2920.0,560.0,752.0,637.0,261.0,117.20297029702971,8.353960396039604,2.4752475247524752,0.6806930693069307,1.4851485148514851,0.6188118811881188
2022-02-09,M+1,0.0,4051.0,180.0,89.0,53.0,50.0,10103.0,32.83,15.0,61.44,34.92,22.49845045045048,94.01489117983962,45.92116053638111,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,45.87,30.03,47.42,54.15,49.15,30.89,9143.0,391.0,138.0,118.0,104.0,34.0,23901.0,1274.0,159.0,292.0,259.0,102.0,58892.0,2986.0,649.0,774.0,670.0,264.0,65.93424479166667,2.9296875,1.4485677083333335,0.8626302083333334,0.8138020833333334,0.244140625
2022-02-10,M+2,0.0,4318.0,150.0,34.0,43.0,26.0,10103.0,29.11,16.0,68.07,34.92,22.49845045045048,83.36197021764032,29.3866884926608,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,48.9,25.03,18.11,43.93,25.56,32.95,10263.0,465.0,163.0,107.0,100.0,41.0,23859.0,1280.0,187.0,281.0,244.0,92.0,59312.0,3024.0,676.0,754.0,653.0,260.0,63.43469957396798,2.203613926840018,0.4994858234170707,0.6317026590274718,0.38195974731893645,0.23505215219626857
2022-02-11,M-1,0.0,2137.0,43.0,0.0,30.0,21.0,10103.0,23.95,6.0,54.82,34.92,22.49845045045048,68.58533791523482,6.451775657822953,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,24.2,7.17,0.0,30.65,20.64,12.35,10506.0,373.0,123.0,126.0,97.0,37.0,22822.0,1276.0,187.0,262.0,219.0,90.0,58909.0,2830.0,656.0,742.0,660.0,246.0,38.98212331265961,0.784385260853703,0.0,0.5472455308281649,0.38307187157971545,0.10944910616563298
2022-02-15,M-4,0.0,6585.0,208.0,53.0,65.0,83.0,10103.0,30.41,19.0,92.24,34.92,22.49845045045048,87.08476517754868,35.16486420686414,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,74.57,34.7,28.24,66.41,81.59,39.12,6585.0,208.0,53.0,65.0,83.0,19.0,17091.0,581.0,176.0,191.0,180.0,56.0,65494.0,3038.0,709.0,807.0,743.0,265.0,71.38985255854294,2.2549869904596704,0.5745880312228968,0.704683434518647,0.8998265394622724,0.20598438855160453
2022-02-16,M-3,0.0,4748.0,176.0,55.0,67.0,50.0,10103.0,32.22,20.0,85.07,34.92,22.49845045045048,92.2680412371134,43.20986270125493,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,53.76,29.37,29.3,68.45,49.15,41.18,11333.0,384.0,108.0,132.0,133.0,39.0,17788.0,577.0,142.0,205.0,180.0,61.0,66057.0,3086.0,754.0,799.0,732.0,271.0,55.812859997649,2.0688844481015636,0.6465263900317386,0.7875866933113906,0.5877512636652169,0.23510050546608677
2022-02-18,M-1,0.0,1338.0,22.0,0.0,29.0,6.0,10103.0,22.81,3.0,32.5,34.92,22.49845045045048,65.32073310423826,1.384760031521565,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,15.15,3.67,0.0,29.63,5.9,6.18,6086.0,198.0,55.0,96.0,56.0,23.0,12671.0,406.0,108.0,161.0,139.0,42.0,59525.0,2622.0,586.0,722.0,642.0,234.0,41.16923076923077,0.676923076923077,0.0,0.8923076923076924,0.18461538461538463,0.09230769230769231
2022-02-20,M+1,0.0,4803.0,243.0,97.0,52.0,51.0,10103.0,30.64,22.0,62.0,34.92,22.49845045045048,87.7434135166094,36.18715683322319,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,54.39,40.54,51.68,53.13,50.13,45.3,6141.0,265.0,97.0,81.0,57.0,25.0,17474.0,649.0,205.0,213.0,190.0,64.0,58519.0,2647.0,597.0,698.0,619.0,234.0,77.46774193548387,3.9193548387096775,1.564516129032258,0.8387096774193549,0.8225806451612904,0.3548387096774194
2022-02-21,M+2,0.0,2905.0,18.0,0.0,35.0,19.0,10103.0,23.79,4.0,38.13,34.92,22.49845045045048,68.12714776632302,5.740615569921003,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,32.9,3.0,0.0,35.76,18.68,8.24,7708.0,261.0,97.0,87.0,70.0,26.0,20379.0,667.0,205.0,248.0,209.0,68.0,55910.0,2352.0,464.0,681.0,569.0,216.0,76.18672960923158,0.47206923682140045,0.0,0.9179124049305009,0.49829530553370044,0.10490427484920009
2022-02-22,M-1,0.0,3016.0,29.0,0.0,45.0,40.0,10103.0,24.59,4.0,53.14,34.92,22.49845045045048,70.41809851088202,9.29641600943075,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,34.15,4.84,0.0,45.97,39.32,8.24,10724.0,290.0,97.0,132.0,110.0,30.0,16810.0,488.0,152.0,228.0,166.0,53.0,58926.0,2381.0,464.0,726.0,609.0,220.0,56.7557395558901,0.5457282649604818,0.0,0.8468197214904027,0.7527286413248024,0.07527286413248024
2022-02-23,MD,0.0,1576.0,606.0,3.0,17.0,1.0,10103.0,25.9,25.0,12.07,34.92,22.49845045045048,74.16953035509736,15.11903922912795,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,17.85,101.11,1.6,17.37,0.98,51.48,7497.0,653.0,3.0,97.0,60.0,33.0,13638.0,918.0,100.0,178.0,117.0,58.0,55327.0,2769.0,401.0,675.0,556.0,221.0,130.57166528583264,50.207125103562554,0.24855012427506212,1.408450704225352,0.08285004142502071,2.071251035625518
2022-02-24,M+1,0.0,4819.0,100.0,5.0,69.0,79.0,10103.0,27.2,10.0,68.25,34.92,22.49845045045048,77.89232531500572,20.89721494333129,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,54.57,16.68,2.66,70.49,77.66,20.59,9411.0,735.0,8.0,131.0,120.0,39.0,18457.0,1018.0,105.0,247.0,196.0,68.0,55786.0,2725.0,400.0,690.0,594.0,205.0,70.60805860805861,1.465201465201465,0.07326007326007326,1.010989010989011,1.1575091575091576,0.14652014652014653
2022-02-25,M-1,0.0,4015.0,165.0,39.0,49.0,42.0,10103.0,27.65,14.0,66.97,34.92,22.49845045045048,79.18098510882015,22.89735269055551,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,45.46,27.53,20.78,50.06,41.29,28.83,10410.0,871.0,47.0,135.0,122.0,49.0,21134.0,1161.0,144.0,267.0,232.0,79.0,56627.0,2843.0,439.0,690.0,590.0,211.0,59.952217410780946,2.463789756607436,0.5823503061072122,0.7316708974167537,0.6271464835000746,0.20904882783335824
2022-03-01,M-5,0.0,4515.0,121.0,11.0,108.0,76.0,10103.0,26.92,13.0,88.12,34.92,22.49845045045048,77.09049255441008,19.65268478950289,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,51.13,20.19,5.86,110.34,74.71,26.77,5069.0,121.0,11.0,123.0,80.0,26.0,15479.0,992.0,58.0,258.0,202.0,75.0,49380.0,2061.0,386.0,677.0,548.0,184.0,51.236949614162505,1.3731275533363594,0.12482977757603268,1.2256014525646846,0.8624602814344076,0.14752610077167497
2022-03-02,M-4,0.0,6087.0,173.0,130.0,54.221518987341774,41.335443037974684,10103.0,31.84,21.0,89.59,34.92,22.49845045045048,91.17983963344787,41.5208574924878,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,68.93,28.86,69.26,55.39,40.63,43.24,11156.0,294.0,141.0,177.22151898734177,121.33544303797468,47.0,19990.0,559.0,185.0,295.22151898734177,242.3354430379747,71.0,51416.0,2054.0,427.0,678.2215189873418,539.3354430379746,190.0,67.94285076459425,1.9310190869516686,1.4510548052237973,0.6052184282547357,0.46138456343313633,0.23440116084384416
2022-03-04,M-2,1.0,5173.0,323.0,91.0,67.0,36.0,10103.0,29.86,25.0,85.51,34.92,22.49845045045048,85.50973654066438,32.72025140470119,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,58.58,53.89,48.48,68.45,35.39,51.48,11260.0,496.0,221.0,121.22151898734177,77.33544303797468,46.0,16329.0,617.0,232.0,244.22151898734177,157.3354430379747,72.0,50134.0,2184.0,484.0,672.2215189873418,528.3354430379748,193.0,60.495848438779085,3.7773359840954273,1.0642030171909718,0.783534089580166,0.4210033914162086,0.292363466261256
2022-03-08,M+2,0.0,2877.0,49.0,0.0,34.0,19.0,10103.0,21.32,2.0,37.97,34.92,22.49845045045048,61.05383734249713,-5.237918287065326,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,32.58,8.18,0.0,34.74,18.68,4.12,2877.0,49.0,0.0,34.0,19.0,2.0,14137.0,545.0,221.0,155.22151898734177,96.33544303797468,48.0,46426.0,2025.0,431.0,641.2215189873418,464.3354430379747,176.0,75.7703450092178,1.2904924940742692,0.0,0.8954437713984725,0.5003950487226758,0.05267316302343956
2022-03-09,M-1,0.0,2049.0,136.0,36.0,29.0,13.0,10103.0,31.6,9.0,26.39,34.92,22.49845045045048,90.49255441008017,40.45411736063489,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,23.2,22.69,19.18,29.63,12.78,18.53,4926.0,185.0,36.0,63.0,32.0,11.0,10099.0,508.0,127.0,130.0,68.0,36.0,43727.0,1985.0,412.0,603.2215189873418,427.3354430379747,165.0,77.64304660856385,5.15346722243274,1.3641530882910193,1.0989010989010988,0.49261083743842365,0.34103827207275483
2022-03-11,M+1,0.0,4423.0,178.0,24.0,71.0,59.0,10103.0,28.11,21.0,59.01,34.92,22.49845045045048,80.49828178694158,24.94193794327362,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,50.08,29.7,12.79,72.54,58.0,43.24,6472.0,314.0,60.0,100.0,72.0,30.0,9349.0,363.0,60.0,134.0,91.0,32.0,46812.0,2141.0,436.0,645.2215189873418,480.3354430379747,183.0,74.95339772919844,3.016437891882732,0.40671072699542454,1.2031859006947976,0.9998305371970853,0.35587188612099646
2022-03-12,M-1,0.0,1959.0,49.0,9.0,36.0,25.0,10103.0,26.44,5.0,28.83,34.92,22.49845045045048,75.71592210767469,17.51920452579704,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,22.18,8.18,4.8,36.78,24.58,10.3,6382.0,227.0,33.0,107.0,84.0,26.0,11308.0,412.0,69.0,170.0,116.0,37.0,48771.0,2190.0,445.0,681.2215189873418,505.3354430379747,188.0,67.95005202913632,1.6996184530003469,0.3121748178980229,1.2486992715920917,0.8671522719389525,0.1734304543877905
2022-03-16,M+3,0.0,6284.0,983.0,30.0,73.0,44.0,10103.0,28.02,48.0,82.62,34.92,22.49845045045048,80.24054982817869,24.54191039382878,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,71.16,164.01,15.98,74.58,43.25,98.84,6284.0,983.0,30.0,73.0,44.0,48.0,12666.0,1210.0,63.0,180.0,128.0,74.0,42755.0,2277.0,375.0,605.2215189873418,438.3354430379747,181.0,76.05906560154926,11.897845557976277,0.36310820624546114,0.8835633018639554,0.532558702493343,0.5809731299927378
2022-03-17,0,0.0,6863.0,434.0,56.0,81.0,87.0,10103.0,29.67,42.0,82.9,34.92,22.49845045045048,84.96563573883161,31.87574880031763,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,77.71,72.41,29.84,82.75,85.52,86.48,13147.0,1417.0,86.0,154.0,131.0,90.0,19529.0,1644.0,119.0,261.0,215.0,116.0,44799.0,2611.0,426.0,617.2215189873418,446.3354430379747,213.0,82.78648974668275,5.235223160434257,0.6755126658624849,0.9770808202653799,1.0494571773220747,0.5066344993968637
2022-03-18,0,0.0,8225.0,482.0,216.0,65.0,68.0,10103.0,32.6,31.0,92.61,34.92,22.49845045045048,93.35624284077892,44.89886791002207,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,93.14,80.42,115.08,66.41,66.85,63.83,21372.0,1899.0,302.0,219.0,199.0,121.0,23331.0,1948.0,311.0,255.0,224.0,126.0,49009.0,2928.0,603.0,633.2215189873418,472.3354430379747,230.0,88.81330309901739,5.204621531152143,2.3323615160349855,0.7018680488068243,0.7342619587517547,0.334737069430947
2022-03-19,0,0.0,5273.0,54.0,1.0,65.0,47.0,10103.0,25.6,5.0,65.38,34.92,22.49845045045048,73.31042382588774,13.78561406431181,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,59.71,9.01,0.53,66.41,46.2,10.3,20361.0,970.0,273.0,211.0,202.0,78.0,26645.0,1953.0,303.0,284.0,246.0,126.0,54282.0,2982.0,604.0,698.2215189873418,519.3354430379748,235.0,80.65157540532273,0.8259406546344449,0.015295197308045275,0.9941878250229429,0.7188742734781279,0.07647598654022637
2022-03-22,0,0.0,4964.0,277.0,33.0,55.0,42.0,10103.0,28.48,19.0,84.78,34.92,22.49845045045048,81.55784650630011,26.58649564654688,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,56.21,46.22,17.58,56.19,41.29,39.12,4964.0,277.0,33.0,55.0,42.0,19.0,31609.0,2230.0,336.0,339.0,288.0,145.0,54177.0,3138.0,626.0,630.2215189873418,481.3354430379747,228.0,58.551545175749,3.2672800188723756,0.389242745930644,0.6487379098844067,0.4953998584571833,0.2241094597782496
2022-03-23,0,0.0,6626.0,568.0,5.0,91.0,75.0,10103.0,28.45,42.0,83.78,34.92,22.49845045045048,81.47193585337915,26.45315313006526,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,75.03,94.77,2.66,92.97,73.73,86.48,11590.0,845.0,38.0,146.0,117.0,61.0,31951.0,1815.0,311.0,357.0,319.0,139.0,54716.0,3533.0,501.0,667.0,515.0,249.0,79.08808784912867,6.779661016949152,0.05968011458582,1.086178085461924,0.8952017187873,0.5013129625208881
2022-03-24,0,0.0,4278.0,102.0,0.0,47.0,45.0,10103.0,25.07,11.0,94.54,34.92,22.49845045045048,71.79266895761741,11.4298962731366,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,48.44,17.02,0.0,48.02,44.24,22.65,15868.0,947.0,38.0,193.0,162.0,72.0,29366.0,1483.0,255.0,323.0,277.0,108.0,58994.0,3635.0,501.0,714.0,560.0,260.0,45.25068753966575,1.0789083985614554,0.0,0.4971440660038079,0.47598899936534794,0.1163528665115295
2022-03-25,0,0.0,9915.0,409.0,78.0,83.0,111.0,10103.0,30.13,35.0,90.8,34.92,22.49845045045048,86.28293241695303,33.92033405303572,10697.0,6965.2535211267605,835.0,363.6901408450704,289.0,86.38028169014085,117.0,78.76368336601891,130.0,73.45542877518275,63.0,34.12676056338028,112.27,68.24,41.56,84.8,109.11,72.07,20819.0,1079.0,83.0,221.0,231.0,88.0,31056.0,1410.0,117.0,341.0,320.0,112.0,63736.0,3721.0,488.0,730.0,635.0,270.0,109.19603524229075,4.504405286343612,0.8590308370044053,0.9140969162995595,1.222466960352423,0.3854625550660793
